"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"450","Richie James Jr.","KC","12","WR149","","","","","","419.0"
"451","Justin Davis","","","RB124","","","","","","420.0"
"452","Braxton Miller","","","WR150","","","","","","421.0"
"453","Amara Darboh","","","WR151","","","","","","423.0"
"454","T.J. Jones","","","WR152","","","","","","424.0"
"455","Jason Sanders","MIA","11","K34","","","","","","425.0"
"456","Jeremy Kerley","","","WR153","","","","","","426.0"
"457","Chris Conley","SF","11","WR154","","","","","","427.0"
"458","Niles Paul","","","TE61","","","","","","428.0"
"459","Keith Smith","ATL","8","RB125","","","","","","429.0"
"460","Patrick DiMarco","","","RB126","","","","","","430.0"
"461","Andy Janovich","","","RB127","","","","","","431.0"
"462","Joe Webb III","","","QB54","","","","","","432.0"
"463","Nick Boyle","","","TE62","","","","","","433.0"
"464","Chris Moore","TEN","8","WR155","","","","","","434.0"
"465","Jermaine Gresham","","","TE63","","","","","","435.0"
"466","Justin Hunter ","","","WR156","","","","","","436.0"
"467","Demarcus Robinson","LAR","12","WR157","","","","","","437.0"
"468","Brandon Weeden","","","QB55","","","","","","438.0"
"469","Demetrius Harris ","","","TE64","","","","","","439.0"
"470","Seth DeValve","","","TE65","","","","","","440.0"
"471","Nate Sudfeld","DET","6","QB56","","","","","","441.0"
"472","Lee Smith","","","TE66","","","","","","442.0"
"473","Lance Kendricks","","","TE67","","","","","","443.0"
"474","Eli Rogers ","","","WR158","","","","","","444.0"
"475","A.J. Derby","","","TE68","","","","","","445.0"
"476","Benny Cunningham Jr.","","","RB128","","","","","","446.0"
"477","Chad Hansen","","","WR159","","","","","","447.0"
"478","De'Anthony Thomas","","","WR160","","","","","","448.0"
"479","Jamize Olawale","","","RB129","","","","","","449.0"
"480","Chris Herndon IV","","","TE69","","","","","","450.0"
"481","Nick O'Leary","","","TE70","","","","","","451.0"
"482","Logan Paulsen","","","TE71","","","","","","452.0"
"483","Geno Smith","SEA","7","QB57","","","","","","453.0"
"484","Mason Rudolph","PIT","7","QB58","","","","","","454.0"
"485","Josh Hill","","","TE72","","","","","","455.0"
"486","Blaine Gabbert","KC","12","QB59","","","","","","456.0"
"487","Kendrick Bourne","NE","11","WR161","","","","","","457.0"
"488","Josh Reynolds","DET","6","WR162","","","","","","458.0"
""
""
