"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"71","DeeJay Dallas (SEA)","33","138","4.2","15","0","2","21","23","133","6.3","0","0","17","60.1","3.5","0.8%"
"72","Duke Johnson Jr. (FA)","71","330","4.6","27","1","3","4","5","41","10.3","0","0","5","59.1","11.8","0.0%"
"73","Giovani Bernard (FA)","8","58","7.3","24","1","0","23","29","123","5.3","3","0","10","59.1","5.9","0.0%"
"74","Derrick Gore (WAS)","51","256","5.0","51","5","2","8","9","105","13.1","0","0","8","56.1","7.0","0.0%"
"75","Jaret Patterson (LAC)","68","266","3.9","13","0","2","10","12","73","7.3","0","0","14","55.9","4.0","0.0%"
"76","Jeff Wilson Jr. (MIA)","79","294","3.7","17","0","2","7","8","31","4.4","0","0","9","51.5","5.7","16.3%"
"77","Tevin Coleman (FA)","84","356","4.2","20","1","0","11","16","49","4.5","0","0","11","51.5","4.7","0.0%"
"78","Demetric Felton Jr. (CIN)","7","24","3.4","12","0","0","18","21","181","10.1","2","0","15","50.5","3.4","0.0%"
"79","Dare Ogunbowale (HOU)","43","137","3.2","12","0","1","13","21","114","8.8","1","0","13","50.1","3.9","0.2%"
"80","Peyton Barber (FA)","55","212","3.9","27","1","2","10","13","67","6.7","0","0","10","49.9","5.0","1.0%"
"81","Chris Evans (CIN)","17","77","4.5","13","0","0","15","17","151","10.1","2","0","9","49.8","5.5","0.2%"
"82","JaMycal Hasty (NE)","16","68","4.3","21","1","1","23","29","157","6.8","0","1","11","49.5","4.5","0.1%"
"83","Chris Carson (FA)","54","232","4.3","33","4","3","6","6","29","4.8","0","1","4","48.1","12.0","0.3%"
"84","Carlos Hyde (FA)","72","253","3.5","18","0","1","12","22","65","5.4","0","2","12","45.8","3.8","0.0%"
"85","Phillip Lindsay (FA)","88","249","2.8","35","2","1","4","5","45","11.3","1","0","14","45.4","3.2","0.0%"
"86","Matt Breida (NYG)","26","125","4.8","28","1","1","7","9","72","10.3","2","1","7","42.7","6.1","2.6%"
"87","Ty'Son Williams (FA)","35","185","5.3","35","3","1","9","12","84","9.3","0","0","8","41.9","5.2","0.0%"
"88","Salvon Ahmed (MIA)","54","149","2.8","16","0","0","12","19","117","9.8","0","0","11","38.6","3.5","1.0%"
"89","Le'Veon Bell (FA)","39","101","2.6","12","0","2","5","7","30","6.0","1","0","8","38.1","4.8","0.2%"
"90","Ke'Shawn Vaughn (NE)","36","180","5.0","55","4","2","4","8","26","6.5","0","0","6","36.6","6.1","0.2%"
"91","Elijhaa Penny (FA)","24","99","4.1","12","0","1","9","13","30","3.3","1","0","13","35.9","2.8","0.0%"
"92","Jerick McKinnon (KC)","12","62","5.2","18","0","0","13","20","107","8.2","1","0","9","35.9","4.0","31.2%"
"93","Craig Reynolds (DET)","55","230","4.2","35","3","0","7","8","52","7.4","0","0","5","35.2","7.0","1.7%"
"94","Royce Freeman (LAR)","56","169","3.0","13","0","0","10","16","77","7.7","0","0","12","34.6","2.9","8.3%"
"95","C.J. Ham (MIN)","7","34","4.9","30","2","0","17","18","125","7.4","0","0","15","32.9","2.2","0.1%"
"96","James White (FA)","10","38","3.8","10","0","1","12","14","94","7.8","0","0","3","31.2","10.4","0.1%"
"97","Ty Montgomery II (FA)","15","44","2.9","9","0","0","16","26","95","5.9","0","0","14","29.9","2.1","0.2%"
"98","Corey Clement (FA)","33","140","4.2","38","2","0","6","7","29","4.8","1","0","11","28.9","2.6","0.1%"
"99","Trey Sermon (IND)","41","167","4.1","16","0","1","3","4","26","8.7","0","0","6","28.3","4.7","1.3%"
"100","Eno Benjamin (NO)","34","118","3.5","21","1","1","6","7","42","7.0","0","0","8","28.0","3.5","0.0%"
"101","Adrian Peterson (FA)","38","98","2.6","16","0","2","4","4","8","2.0","0","0","4","26.6","6.7","2.4%"
"102","Jermar Jefferson (DET)","15","74","4.9","28","1","2","4","5","23","5.8","0","0","5","25.7","5.1","0.1%"
"103","Alec Ingold (MIA)","2","1","0.5","1","0","0","10","12","85","8.5","1","0","7","24.6","3.5","0.1%"
"104","Jalen Richard (FA)","9","40","4.4","23","1","0","12","14","72","6.0","0","0","9","23.2","2.6","1.0%"
"105","Kene Nwangwu (MIN)","13","61","4.7","19","0","0","4","5","9","2.3","0","0","9","23.0","2.6","0.5%"
"106","Malcolm Brown (FA)","33","125","3.8","24","1","1","3","5","10","3.3","0","0","6","22.5","3.8","0.0%"
"107","Tony Jones Jr. (ARI)","54","142","2.6","11","0","0","5","8","29","5.8","0","0","10","22.1","2.2","0.2%"
"108","Patrick Ricard (BAL)","2","4","2.0","2","0","0","8","13","63","7.9","1","0","8","20.7","2.6","0.1%"
"109","Jonathan Williams (WAS)","17","79","4.6","23","1","1","4","6","28","7.0","0","0","5","20.7","4.1","0.0%"
"110","Qadree Ollison (FA)","21","105","5.0","19","0","1","4","6","12","3.0","0","1","6","19.7","3.3","0.0%"
"111","Austin Walter (LV)","26","101","3.9","14","0","1","2","3","9","4.5","0","0","4","19.0","4.8","0.0%"
"112","J.J. Taylor (HOU)","19","37","1.9","15","0","2","4","4","8","2.0","0","1","5","18.5","3.7","0.0%"
"113","Godwin Igwebuike (PIT)","18","118","6.6","42","3","1","7","10","60","8.6","0","2","15","18.0","1.2","0.1%"
"114","Keith Smith (ATL)","9","31","3.4","8","0","0","9","10","56","6.2","0","0","13","17.7","1.4","0.0%"
"115","Patrick Taylor Jr. (GB)","23","89","3.9","12","0","1","2","2","3","1.5","0","0","5","17.2","3.4","1.6%"
"116","Joshua Kelley (LAC)","33","102","3.1","14","0","0","5","6","38","7.6","0","1","8","17.0","2.1","11.0%"
"117","Larry Rountree III (FA)","36","87","2.4","13","0","1","1","2","-1","-1.0","0","0","10","15.6","1.6","0.0%"
"118","Michael Burton (DEN)","8","26","3.3","7","0","1","3","3","31","10.3","0","0","10","14.7","1.5","0.1%"
"119","Wayne Gallman Jr. (FA)","28","104","3.7","17","0","0","1","3","21","21.0","0","0","9","13.5","1.5","0.0%"
"120","Benny Snell Jr. (FA)","36","98","2.7","9","0","0","2","4","13","6.5","0","0","16","13.1","0.8","0.0%"
"121","Marlon Mack (ARI)","28","101","3.6","22","1","0","2","5","8","4.0","0","0","6","12.9","2.2","0.0%"
"122","Ryquell Armstead (FA)","15","80","5.3","26","1","0","3","4","16","5.3","0","0","2","12.6","6.3","0.0%"
"123","Andy Janovich (FA)","2","0","0.0","1","0","1","3","4","9","3.0","0","0","6","11.9","2.0","0.0%"
"124","Rodney Smith (FA)","0","0","0","0","0","0","5","5","48","9.6","0","0","1","9.8","9.8","0.0%"
"125","Jonathan Ward (TEN)","9","33","3.7","7","0","0","3","4","34","11.3","0","0","9","9.7","1.1","0.0%"
"126","Alex Armah Jr. (WAS)","5","21","4.2","9","0","0","1","1","1","1.0","1","0","10","9.2","0.9","0.0%"
"127","Johnny Stanton IV (FA)","3","5","1.7","3","0","0","2","2","7","3.5","1","0","3","9.2","3.1","0.0%"
"128","Deon Jackson (NYG)","13","31","2.4","10","0","1","0","0","0","0","0","0","5","9.1","1.8","1.2%"
"129","JaQuan Hardy (FA)","4","29","7.3","22","1","1","0","0","0","0","0","0","2","8.9","4.5","0.0%"
"130","Wendell Smallwood (FA)","5","25","5.0","13","0","0","4","5","22","5.5","0","0","2","8.7","4.4","0.0%"
"131","Jakob Johnson (LV)","0","0","0","0","0","0","4","5","43","10.8","0","0","7","8.3","1.2","0.0%"
"132","Mike Boone (CAR)","4","35","8.8","16","0","0","2","2","22","11.0","0","0","3","7.7","2.6","0.4%"
"133","Trayveon Williams (CIN)","15","51","3.4","10","0","0","1","2","4","4.0","0","0","4","6.5","1.6","0.6%"
"134","Ito Smith (FA)","1","4","4.0","4","0","1","0","0","0","0","0","0","1","6.4","6.4","0.0%"
"135","Kalen Ballage (FA)","12","36","3.0","13","0","0","2","7","8","4.0","0","0","9","6.4","0.7","0.0%"
"136","Reggie Gilliam (BUF)","3","3","1.0","2","0","0","3","5","23","7.7","0","0","8","5.6","0.7","0.0%"
"137","Gabe Nabers (FA)","3","8","2.7","4","0","0","3","3","17","5.7","0","0","7","5.5","0.8","0.0%"
"138","Jaylen Samuels (FA)","5","9","1.8","3","0","0","3","4","14","4.7","0","0","3","5.3","1.8","0.0%"
"139","Adam Prentice (NO)","3","5","1.7","2","0","0","3","3","16","5.3","0","0","5","5.1","1.0","0.0%"
"140","Patrick Laird (TB)","1","4","4.0","4","0","0","3","3","17","5.7","0","0","3","5.1","1.7","0.0%"
"141","Jason Huntley (FA)","13","51","3.9","18","0","0","0","1","0","0","0","0","1","5.1","5.1","0.0%"
"142","Dwayne Washington (DEN)","4","16","4.0","5","0","0","2","2","12","6.0","0","0","8","4.8","0.6","0.0%"
"143","Derek Watt (FA)","1","1","1.0","1","0","0","3","3","15","5.0","0","0","11","4.6","0.4","0.0%"
"144","Cam Akers (MIN)","5","3","0.6","2","0","0","3","3","10","3.3","0","0","2","4.3","2.2","20.5%"
"145","Scottie Phillips (FA)","6","13","2.2","4","0","0","2","3","9","4.5","0","0","3","4.2","1.4","0.0%"
"146","Kylin Hill (FA)","10","24","2.4","8","0","0","1","2","5","5.0","0","0","8","3.9","0.5","0.0%"
"147","Darrynton Evans (BUF)","2","7","3.5","5","0","0","2","2","11","5.5","0","0","2","3.8","1.9","0.1%"
"148","Reggie Bonnafon (FA)","1","4","4.0","4","0","0","2","2","12","6.0","0","0","1","3.6","3.6","0.0%"
"149","Trey Ragas (FA)","1","9","9.0","9","0","0","2","2","6","3.0","0","0","1","3.5","3.5","0.0%"
"150","La'Mical Perine (KC)","8","31","3.9","14","0","0","0","0","0","0","0","0","2","3.1","1.6","0.6%"
