"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","110","152","1,338","12.2","52","29","12","2","5","0","1","17","316.3","18.6","99.3%"
"2","T.J. Hockenson (MIN)","86","129","914","10.6","81","12","6","0","0","0","1","17","215.4","12.7","75.9%"
"3","George Kittle (SF)","60","86","765","12.8","54","20","11","0","0","0","1","15","200.5","13.4","98.0%"
"4","Mark Andrews (BAL)","73","113","847","11.6","36","8","5","3","8","0","0","15","190.5","12.7","51.0%"
"5","Evan Engram (JAC)","73","98","766","10.5","36","11","4","2","13","0","0","17","176.9","10.4","96.7%"
"6","Tyler Higbee (LAR)","72","108","620","8.6","26","4","3","0","0","0","0","16","152.0","9.5","37.9%"
"7","Pat Freiermuth (PIT)","63","98","732","11.6","57","13","2","0","0","0","0","15","148.2","9.9","56.4%"
"8","Cole Kmet (CHI)","50","69","544","10.9","50","9","7","2","9","0","0","17","147.3","8.7","83.6%"
"9","Taysom Hill (NO)","9","13","77","8.6","30","2","2","96","575","7","0","16","145.8","9.1","54.3%"
"10","Dalton Schultz (HOU)","57","89","577","10.1","30","6","5","0","0","0","1","15","142.7","9.5","79.8%"
"11","David Njoku (CLE)","58","80","628","10.8","38","10","4","2","-8","0","1","14","142.0","10.1","93.3%"
"12","Dallas Goedert (PHI)","55","69","702","12.8","31","12","3","0","0","0","1","12","141.2","11.8","90.6%"
"13","Gerald Everett (LAC)","58","87","555","9.6","26","4","4","1","0","0","0","15","139.5","9.3","41.6%"
"14","Dawson Knox (BUF)","48","65","517","10.8","45","10","6","0","0","0","0","15","135.7","9.0","6.0%"
"15","Juwan Johnson (NO)","42","65","508","12.1","41","10","7","0","0","0","0","16","134.8","8.4","18.9%"
"16","Tyler Conklin (NYJ)","58","87","552","9.5","30","7","3","2","3","0","0","17","131.5","7.7","17.4%"
"17","Noah Fant (SEA)","50","63","486","9.7","51","8","4","0","0","0","0","17","122.6","7.2","1.9%"
"18","Jordan Akins (CLE)","37","54","495","13.4","46","13","5","0","0","0","1","15","116.5","7.8","0.1%"
"19","Zach Ertz (DET)","47","69","406","8.6","32","3","4","0","0","0","0","10","115.6","11.6","10.9%"
"20","Robert Tonyan (CHI)","53","67","470","8.9","24","5","2","0","0","0","0","17","112.0","6.6","0.2%"
"21","Hayden Hurst (CAR)","54","70","439","8.1","29","5","2","0","0","0","0","14","109.9","7.9","2.6%"
"22","Hunter Henry (NE)","41","59","509","12.4","39","15","2","0","0","0","0","16","103.9","6.5","21.9%"
"23","Mike Gesicki (NE)","32","52","362","11.3","32","7","5","0","0","0","0","17","98.2","5.8","3.4%"
"24","Austin Hooper (LV)","41","60","444","10.8","24","2","2","0","0","0","0","17","97.4","5.7","0.4%"
"25","Chigoziem Okonkwo (TEN)","32","46","450","14.1","48","14","3","3","2","0","0","16","97.2","6.1","38.5%"
"26","Cade Otton (TB)","42","65","391","9.3","35","5","2","0","0","0","0","16","93.1","5.8","26.0%"
"27","Isaiah Likely (BAL)","36","60","373","10.4","34","5","3","0","0","0","0","14","91.3","6.5","65.0%"
"28","Will Dissly (SEA)","34","38","349","10.3","38","2","3","0","0","0","0","15","86.9","5.8","0.2%"
"29","Greg Dulcich (DEN)","33","55","411","12.5","39","9","2","0","0","0","0","10","86.1","8.6","5.8%"
"30","Foster Moreau (NO)","33","54","420","12.7","33","10","2","0","2","0","1","14","85.2","6.1","0.1%"
"31","Darren Waller (NYG)","28","43","388","13.9","34","11","3","0","0","0","0","9","84.8","9.4","70.9%"
"32","Logan Thomas (WAS)","39","61","323","8.3","27","2","1","0","0","0","0","13","77.3","5.9","37.3%"
"33","Kyle Pitts (ATL)","28","59","356","12.7","33","6","2","0","0","0","0","10","75.6","7.6","81.6%"
"34","Daniel Bellinger (NYG)","30","35","268","8.9","24","2","2","1","2","1","1","11","75.0","6.8","0.8%"
"35","Jelani Woods (IND)","25","40","312","12.5","36","6","3","0","0","0","0","12","74.2","6.2","0.9%"
"36","Noah Gray (KC)","28","34","299","10.7","27","3","1","1","1","1","0","17","70.0","4.1","1.1%"
"37","Colby Parkinson (SEA)","25","34","322","12.9","39","8","2","0","0","0","0","14","69.2","4.9","0.1%"
"38","Brock Wright (DET)","18","24","216","12.0","51","6","4","0","0","0","0","14","63.6","4.5","0.1%"
"39","Harrison Bryant (CLE)","31","42","239","7.7","30","2","1","1","8","0","0","14","61.7","4.4","0.3%"
"40","Trey McBride (ARI)","29","39","265","9.1","29","3","1","0","0","0","0","12","61.5","5.1","87.8%"
"41","Kylen Granson (IND)","31","40","302","9.7","32","4","0","1","0","0","0","13","61.2","4.7","0.8%"
"42","C.J. Uzomah (NYJ)","21","27","232","11.0","40","8","2","0","0","0","0","14","56.2","4.0","0.1%"
"43","Irv Smith Jr. (CIN)","25","36","182","7.3","17","0","2","0","0","0","0","8","55.2","6.9","2.7%"
"44","MyCole Pruitt (ATL)","16","21","150","9.4","29","2","4","0","0","0","0","10","55.0","5.5","0.0%"
"45","Mo Alie-Cox (IND)","19","28","189","9.9","34","2","3","0","0","0","1","14","53.9","3.9","0.1%"
"46","Tommy Tremble (CAR)","19","32","174","9.2","29","1","3","0","0","0","1","15","52.4","3.5","0.2%"
"47","Jonnu Smith (ATL)","27","38","245","9.1","53","6","0","1","5","0","0","12","52.0","4.3","14.7%"
"48","Jake Ferguson (DAL)","19","22","174","9.2","30","4","2","0","0","0","0","11","48.4","4.4","89.9%"
"49","Adam Trautman (DEN)","18","22","207","11.5","22","2","1","0","0","0","0","13","44.7","3.4","0.4%"
"50","Shane Zylstra (DET)","11","15","60","5.5","14","0","4","0","0","0","0","9","41.0","4.6","0.0%"
"51","Josh Oliver (MIN)","14","25","149","10.6","40","3","2","0","0","0","0","12","40.9","3.4","0.7%"
"52","Ian Thomas (CAR)","21","30","197","9.4","50","4","0","0","0","0","0","14","40.7","2.9","0.0%"
"53","Durham Smythe (MIA)","15","20","129","8.6","26","1","1","2","1","1","0","13","40.0","3.1","0.8%"
"54","Peyton Hendershot (DAL)","11","16","103","9.4","29","2","2","1","2","1","0","12","39.5","3.3","0.1%"
"55","Johnny Mundt (MIN)","19","21","140","7.4","17","0","1","0","0","0","0","13","39.0","3.0","4.9%"
"56","Cameron Brate (FA)","20","38","174","8.7","21","1","0","0","0","0","0","9","37.4","4.2","2.0%"
"57","Mitchell Wilcox (CIN)","17","18","139","8.2","19","0","1","0","0","0","0","9","36.9","4.1","0.0%"
"58","O.J. Howard (FA)","10","23","145","14.5","26","4","2","0","0","0","0","11","36.5","3.3","0.0%"
"59","Connor Heyward (PIT)","12","17","151","12.6","45","4","1","2","27","0","0","15","35.8","2.4","0.4%"
"60","Eric Saubert (HOU)","15","24","148","9.9","25","3","1","0","0","0","0","14","35.8","2.6","0.0%"
"61","Zach Gentry (LV)","19","23","132","6.9","32","3","0","0","0","0","0","14","32.2","2.3","0.0%"
"62","John Bates (WAS)","14","22","108","7.7","20","1","1","0","0","0","0","10","30.8","3.1","0.1%"
