#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
78,Jacoby Brissett,QB,WAS,10.9,16.5,17.9,16,15.4,10.6,10.1,20.3,-,16.5,25.9,14.1,-,0,0.3,-,0.2,,12.5,174.6
79,Diontae Johnson,WR,PIT,12.5,13.7,16.4,4.2,11,8.6,9.5,8.5,BYE,10.3,6.2,9.9,11,14.2,20,11.4,5.5,,10.8,172.9
80,Andy Dalton,QB,CAR,-,-,-,13.7,10.9,10.5,29.5,17.2,11.9,9.1,22.2,10.3,13.3,-,14.1,2.6,7,,13.2,172.2
81,Davis Mills,QB,HOU,15.5,7.2,11.8,15.8,5.8,BYE,19.1,9.9,14,15.8,11.8,-,-,6.2,18.9,10.9,9.4,,12.3,172
82,Adam Thielen,WR,CAR,6.6,9.2,18.1,15.2,6.7,15.6,-,12.7,9.7,9.9,4.5,21.1,4.7,19.5,13.1,1.6,2.6,,10.7,170.8
83,Evan Engram,TE,JAC,6.8,11.6,3.9,2.6,12.9,9,10.7,15.5,1.8,4.4,BYE,1.4,14,39.2,14.2,18.3,3.9,,10.6,170.2
84,Mike Williams,WR,LAC,3,25.3,8.5,19,23.4,3.7,21.6,BYE,-,-,2.5,-,-,23.6,10.7,11.6,16.4,,14.1,169.3
85,Jimmy Garoppolo,QB,LV,-,16.7,9.4,13.9,18,18.9,17.3,17.7,-,15.9,25.4,13.3,2.2,-,-,-,-,,15.3,168.8
86,Matt Ryan,QB,FA,16.3,4.8,15.3,18.8,8.1,27.2,11.9,-,-,22.7,8.6,11.2,12.1,-,11.3,-,-,,14,168.3
87,Jakobi Meyers,WR,LV,10.2,18.5,-,-,24.1,10,11.4,21,7.4,-,9.2,9.2,5.2,-,4.7,20.3,16.9,,12.9,168.1
88,Ryan Tannehill,QB,TEN,19.3,2.9,19.8,14.4,11.5,BYE,3.9,-,-,19.4,20,12.5,13,18.8,11.7,-,-,,13.9,167.2
89,Dameon Pierce,RB,HOU,4.9,8.7,18.1,25.9,20.3,BYE,15.7,14.1,13.9,12.2,3.7,4.6,12.5,11.8,-,-,-,,12.8,166.4
90,Antonio Gibson,RB,WAS,20,12.1,11,9.3,6.9,8.3,16.7,20.7,6.7,14.8,13.3,8.4,7.9,BYE,4.7,5.1,-,,11.1,165.9
91,Tyler Boyd,WR,CIN,13.3,5.7,20.5,7.6,6.2,12.6,29.5,12.8,9.4,BYE,6.2,3.6,10,0,14.5,5.1,8.4,,10.3,165.4
92,Gabe Davis,WR,BUF,18.8,-,6.7,2.3,32.1,16.4,BYE,5.5,5.3,21.3,11.8,7.8,9.5,6.1,9.6,11.5,-,,11.8,164.7
93,AJ Dillon,RB,GB,20.1,7.7,5.8,9.4,3.4,9.2,1.5,7.3,6.4,6.5,3.3,17.8,20.9,BYE,22.1,12.8,10.1,,10.3,164.3
94,Deebo Samuel,WR,SF,12.6,14.7,12.9,23.7,11.2,16,9.4,-,BYE,7.1,22.4,7.3,12.3,14.4,-,-,-,,13.7,164
94,Dallas Cowboys,DST,DAL,5,7,10,10,23,4,22,11,BYE,5,16,4,20,4,6,7,10,,10.3,164
96,Mac Jones,QB,NE,9.5,13.7,18.9,-,-,-,1.9,12.7,9.7,BYE,10.1,23.3,12.5,8.3,7.5,17.5,16.3,,12.5,161.9
97,Brett Maher,K,LAR,5,12,12,16,11,5,6,7,-,4,22,4,6,11,12,18,10,,10.1,161
98,Donovan Peoples-Jones,WR,DET,12,0,2,12.1,9,11.6,11.1,12.1,-,14.9,17.1,3.6,13.4,19.4,13.1,1.2,8.3,,10.1,160.9
99,Allen Lazard,WR,NYJ,-,9.3,14.5,17.6,13.5,17.6,11.5,-,18.7,7.5,10.7,4.4,11.7,-,1.7,11.1,10.9,,11.5,160.7
100,Drake London,WR,ATL,12.4,24.6,14.4,3.7,7.5,7,1.9,7.1,3.3,14.8,7.2,4.9,15.5,BYE,12,14.6,9.7,,10,160.6
101,Raheem Mostert,RB,MIA,4.2,10.9,1.1,10.1,19.2,5.8,20.9,7.7,8.6,18.7,BYE,-,3,5.4,16.6,4.9,23.1,,10.7,160.2
102,Joshua Palmer,WR,LAC,3.9,13,15.9,3.5,5.4,14.7,-,BYE,18.6,7.4,30.6,10.6,13,9.3,9.9,3.6,0,,10.6,159.4
103,Marquise Brown,WR,ARI,14.3,12.8,28,20.8,21.8,11.8,-,-,-,-,-,10.6,BYE,7.4,5.9,8.8,12.1,,14,154.3
104,Daniel Carlson,K,LV,9,13,10,14,16,BYE,10,0,8,2,14,10,11,12,7,5,12,,9.6,153
105,Justin Tucker,K,BAL,6,10,9,11,16,8,13,9,10,BYE,7,15,4,11,5,9,9,,9.5,152
106,DeAndre Hopkins,WR,TEN,-,-,-,-,-,BYE,20.3,33.9,13.6,19.8,18.1,18.7,-,12.9,13,1.4,-,,16.9,151.7
107,Mack Hollins,WR,ATL,2.6,11.6,30,6.3,0,-,12.4,13.4,3.7,3.8,11.2,16.3,8.5,8.2,14,1.7,7,,9.4,150.7
108,George Pickens,WR,PIT,1.3,3.3,6.9,16.2,14.3,5.8,18.1,0,BYE,14.5,18.3,10.7,1.2,10.8,7.3,16.7,4.9,,9.4,150.3
109,Jeff Wilson Jr.,RB,MIA,5,12.3,11.6,13.4,20.2,0.5,5.4,5.5,16.2,22.3,BYE,12.2,0.3,2.6,-,11,10.6,,9.9,149.1
110,Pat Freiermuth,TE,PIT,12.5,12.2,6.1,15.5,3.2,-,15.5,9.7,BYE,7.6,15.9,6.9,10.6,12.3,-,13.6,6.6,,10.6,148.2
111,Philadelphia Eagles,DST,PHI,5,12,15,15,4,7,BYE,14,8,7,7,6,10,9,9,10,10,,9.3,148
111,San Francisco 49ers,DST,SF,5,15,8,21,15,1,1,3,BYE,6,11,15,18,10,9,7,3,,9.3,148
113,Christian Watson,WR,GB,6.1,3.9,-,9.3,0.8,-,-,2.2,4.4,32.7,21.1,21,24.4,BYE,8.6,10.9,2.1,,11.3,147.5
114,Courtland Sutton,WR,DEN,11.2,19.7,17.7,16.2,12.4,3.4,5.3,2.3,BYE,12.6,13,13.5,0,-,-,11.4,8.4,,10.5,147.1
115,Jonathan Taylor,RB,IND,27.5,7.3,12.1,3.3,-,-,15.5,5.6,-,24.3,16.4,18.8,13.3,BYE,2.3,-,-,,13.3,146.4
116,Jason Myers,K,SEA,6,1,11,14,10,13,16,11,8,6,BYE,10,10,6,9,4,11,,9.1,146
117,Tyler Allgeier,RB,ATL,-,3,4,11.4,4.5,5.1,11,17.5,13.3,3.3,7.4,5.4,5.2,BYE,22.6,15.7,16.5,,9.7,145.9
118,Kenny Pickett,QB,PIT,-,-,-,15.3,13.1,8.3,13.3,8.3,BYE,19.1,16,12.2,13.3,1.6,-,13.7,10.9,,12.1,145
119,Cordarrelle Patterson,RB,ATL,22.6,4.1,22.3,9.8,-,-,-,-,18.3,3,11.9,10.1,6,BYE,12.2,4.1,20.4,,12.1,144.8
120,Tyler Higbee,TE,LAR,8.9,14.1,10.1,17.3,11.6,1.7,BYE,3.5,0,15.3,8.5,-,3.4,3.1,12.7,30.4,4.1,,9.6,144.7
121,Taysom Hill,TE,NO,15.3,1.4,-,8.1,34.1,4.5,10.1,8.3,1.1,0.1,7.6,3,13.3,BYE,10.2,11.6,13.6,,9.5,142.3
122,Graham Gano,K,NYG,1,17,15,10,10,6,11,8,BYE,7,0,11,9,2,12,14,8,,8.8,141
122,Eddy Pineiro,K,CAR,6,10,12,6,10,5,3,9,3,16,3,12,BYE,13,12,14,7,,8.8,141
122,Nick Folk,K,TEN,1,5,10,6,18,8,2,21,17,-,4,15,4,11,13,0,6,,8.8,141
122,Tyler Bass,K,BUF,8,12,5,11,8,6,BYE,10,7,13,23,10,7,9,6,3,3,,8.8,141
126,K.J. Osborn,WR,MIN,4.4,4.5,18.3,1.5,9.1,4.8,BYE,8.8,0,7.7,3.7,2.3,3.7,14.8,31.7,4.7,18.9,,8.7,138.9
