"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"77","Alfred Morris (FA)","69","243","3.5","17","0","2","3","6","11","3.7","0","0","14","40.4","2.9","0.0%"
"78","Bobby Rainey (FA)","17","63","3.7","14","0","0","20","25","153","7.7","0","1","15","39.6","2.6","0.0%"
"79","Shane Vereen (FA)","33","158","4.8","25","1","1","11","19","94","8.5","0","2","5","38.2","7.6","0.0%"
"80","Lance Dunbar (FA)","9","31","3.4","10","0","1","16","24","122","7.6","0","0","13","37.3","2.9","0.0%"
"81","Kenneth Farrow (FA)","60","192","3.2","11","0","0","13","16","70","5.4","0","1","13","37.2","2.9","0.0%"
"82","Peyton Barber (FA)","55","223","4.1","44","1","1","5","6","28","5.6","0","0","15","36.1","2.4","1.0%"
"83","Alex Collins (FA)","31","125","4.0","26","1","1","11","11","84","7.6","0","1","11","35.9","3.3","19.0%"
"84","Corey Grant (FA)","32","164","5.1","57","1","1","4","7","35","8.8","1","0","11","35.9","3.3","0.0%"
"85","Josh Ferguson (FA)","15","20","1.3","11","0","0","20","25","136","6.8","0","0","16","35.6","2.2","0.0%"
"86","DuJuan Harris (FA)","38","138","3.6","19","0","0","8","9","115","14.4","1","2","10","35.3","3.5","0.0%"
"87","Benny Cunningham Jr. (FA)","21","101","4.8","24","2","0","16","21","91","5.7","0","0","11","35.2","3.2","0.0%"
"88","Mike Tolbert (FA)","35","114","3.3","14","0","0","10","15","72","7.2","1","0","16","34.6","2.2","0.0%"
"89","Kenjon Barner (FA)","27","129","4.8","19","0","2","5","11","42","8.4","0","0","13","34.1","2.6","0.0%"
"90","Jonathan Grimes (FA)","23","105","4.6","14","0","0","13","18","94","7.2","0","0","10","32.9","3.3","0.0%"
"91","Andre Ellington (FA)","34","96","2.8","13","0","0","12","19","85","7.1","0","0","16","30.1","1.9","0.1%"
"92","Ronnie Hillman (FA)","41","131","3.2","17","0","0","7","15","93","13.3","0","0","8","29.4","3.7","0.0%"
"93","Kerwynn Williams (FA)","18","157","8.7","49","3","2","1","2","6","6.0","0","0","10","29.3","2.9","0.0%"
"94","Cameron Artis-Payne (FA)","36","144","4.0","14","0","2","1","1","11","11.0","0","0","3","28.5","9.5","0.0%"
"95","Kapri Bibbs (FA)","29","129","4.4","24","1","0","2","4","75","37.5","1","0","12","28.4","2.4","0.1%"
"96","Danny Woodhead (FA)","19","116","6.1","23","2","0","6","8","35","5.8","1","0","2","27.1","13.6","20.6%"
"97","Ameer Abdullah (LV)","18","101","5.6","24","1","0","5","5","57","11.4","1","0","2","26.8","13.4","1.0%"
"98","Orleans Darkwa (FA)","30","111","3.7","17","0","2","2","4","12","6.0","0","0","10","26.3","2.6","0.0%"
"99","Reggie Bush (FA)","12","-3","-0.3","5","0","1","7","10","90","12.9","0","0","13","23.7","1.8","0.0%"
"100","Ka'Deem Carey (FA)","32","126","3.9","24","1","0","5","7","55","11.0","0","0","12","23.1","1.9","0.0%"
"101","Denard Robinson (FA)","41","144","3.5","9","0","0","3","5","22","7.3","0","0","13","19.6","1.5","0.2%"
"102","Arian Foster (FA)","22","55","2.5","9","0","0","6","10","78","13.0","0","0","4","19.3","4.8","0.0%"
"103","C.J. Spiller (FA)","6","18","3.0","13","0","0","6","13","50","8.3","1","0","7","18.8","2.7","0.1%"
"104","Andy Janovich (FA)","4","33","8.3","28","1","1","5","7","44","8.8","0","0","11","18.7","1.7","0.0%"
"105","Patrick DiMarco (FA)","0","0","0","0","0","0","7","10","52","7.4","1","0","16","18.2","1.1","0.0%"
"106","Terron Ward (FA)","31","151","4.9","45","2","0","1","2","11","11.0","0","0","5","17.2","3.4","0.0%"
"107","Akeem Hunt (FA)","20","109","5.5","19","0","0","3","4","29","9.7","0","0","8","16.8","2.1","0.0%"
"108","Antone Smith (FA)","10","47","4.7","8","0","0","6","9","77","12.8","0","1","3","16.4","5.5","0.0%"
"109","Chris Johnson (FA)","25","95","3.8","18","0","1","0","1","0","0","0","0","4","15.5","3.9","0.6%"
"110","Mack Brown (FA)","8","82","10.3","61","1","1","1","1","-2","-2.0","0","0","9","15.0","1.7","0.0%"
"111","Mike Davis (FA)","19","50","2.6","8","0","1","3","5","25","8.3","0","1","8","14.5","1.8","1.0%"
"112","Marcel Reece (FA)","2","0","0.0","0","0","0","5","5","73","14.6","0","0","4","14.3","3.6","0.0%"
"113","Jamaal Charles (FA)","12","40","3.3","17","0","1","2","3","14","7.0","0","0","3","13.4","4.5","0.1%"
"114","Darren McFadden (FA)","24","87","3.6","24","1","0","3","5","17","5.7","0","0","3","13.4","4.5","7.0%"
"115","Jerome Felton (FA)","8","13","1.6","6","0","0","6","9","57","9.5","0","0","15","13.0","0.9","0.0%"
"116","Derek Watt (FA)","2","4","2.0","2","0","0","4","4","83","20.8","0","0","16","12.7","0.8","0.0%"
"117","Jonathan Williams (WAS)","27","94","3.5","20","1","1","1","2","0","0.0","0","2","11","12.4","1.1","0.0%"
"118","Fitzgerald Toussaint (FA)","14","58","4.1","16","0","0","3","3","33","11.0","0","0","16","12.1","0.8","0.0%"
"119","Dexter McCluster (FA)","3","2","0.7","2","0","0","7","11","36","5.1","0","0","6","10.8","1.8","0.0%"
"120","Byron Marshall (FA)","19","64","3.4","12","0","0","3","5","10","3.3","0","0","3","10.4","3.5","0.1%"
"121","Terrell Watson (FA)","9","28","3.1","8","0","1","1","1","5","5.0","0","0","1","10.3","10.3","0.0%"
"122","Knile Davis (FA)","18","28","1.6","6","0","0","5","7","25","5.0","0","0","11","10.3","0.9","0.0%"
"123","Malcolm Brown (FA)","18","39","2.2","10","0","0","3","3","46","15.3","0","1","17","9.5","0.6","0.0%"
"124","George Atkinson III (FA)","7","34","4.9","11","0","1","0","0","0","0","0","0","16","9.4","0.6","0.0%"
"125","Adrian Peterson (FA)","37","72","1.9","13","0","0","3","6","8","2.7","0","1","3","9.0","3.0","2.4%"
"126","Andre Williams (FA)","18","87","4.8","14","0","0","0","2","0","0","0","0","1","8.7","8.7","0.0%"
"127","Juwan Thompson (FA)","8","26","3.3","14","0","1","0","1","0","0","0","0","8","8.6","1.1","0.0%"
"128","Mike James (FA)","4","19","4.8","9","0","0","4","4","22","5.5","0","0","4","8.1","2.0","0.0%"
"129","Javorius Allen (FA)","9","34","3.8","7","0","0","3","4","15","5.0","0","0","8","7.9","1.0","0.1%"
"130","Malcolm Johnson (FA)","1","2","2.0","2","0","0","5","7","44","8.8","0","1","7","7.6","1.1","0.0%"
"131","Taiwan Jones (FA)","1","-8","-8.0","0","0","0","4","4","43","10.8","0","0","13","7.5","0.6","0.0%"
"132","Brandon Wilds (FA)","10","27","2.7","6","0","0","2","2","20","10.0","0","0","4","6.7","1.7","0.0%"
"133","Danny Vitale (FA)","0","0","0","0","0","0","4","5","27","6.8","0","0","9","6.7","0.7","0.0%"
"134","Daniel Lasco (FA)","11","32","2.9","6","0","0","2","4","11","5.5","0","0","7","6.3","0.9","0.0%"
"135","Troymaine Pope (FA)","12","44","3.7","18","0","0","1","2","5","5.0","0","0","4","5.9","1.5","0.0%"
"136","Jordan Todman (FA)","9","59","6.6","19","0","0","0","1","0","0","0","0","16","5.9","0.4","0.0%"
"137","Keith Smith (ATL)","2","5","2.5","3","0","0","3","3","20","6.7","0","0","16","5.5","0.3","0.0%"
"138","Anthony Sherman (FA)","0","0","0","0","0","0","4","6","11","2.8","0","0","16","5.1","0.3","0.0%"
"139","James Develin (FA)","0","0","0","0","0","0","3","6","18","6.0","0","0","16","4.8","0.3","0.0%"
"140","Lorenzo Taliaferro (FA)","1","0","0.0","0","0","0","3","3","10","3.3","0","0","3","4.0","1.3","0.0%"
"141","Brandon Bolden (LV)","1","4","4.0","4","0","0","2","4","15","7.5","0","0","14","3.9","0.3","0.1%"
"142","Isaiah Pead (FA)","8","22","2.8","4","0","0","1","1","6","6.0","0","0","3","3.8","1.3","0.0%"
"143","J.D. McKissic (FA)","1","2","2.0","2","0","0","2","2","16","8.0","0","0","1","3.8","3.8","0.0%"
"144","D.J. Foster (FA)","7","24","3.4","7","0","0","1","2","2","2.0","0","0","3","3.6","1.2","0.0%"
"145","Ryan Hewitt (FA)","0","0","0","0","0","0","2","3","13","6.5","0","0","16","3.3","0.2","0.0%"
"146","Don Jackson (FA)","10","32","3.2","7","0","0","0","1","0","0","0","0","3","3.2","1.1","0.0%"
"147","Jalston Fowler (FA)","1","3","3.0","3","0","0","1","2","14","14.0","0","0","16","2.7","0.2","0.0%"
"148","Jay Prosch (FA)","4","9","2.3","5","0","0","1","1","6","6.0","0","0","15","2.5","0.2","0.0%"
"149","Roosevelt Nix (FA)","0","0","0","0","0","0","2","2","5","2.5","0","0","10","2.5","0.3","0.0%"
"150","Paul Lasike (FA)","3","8","2.7","5","0","0","1","1","3","3.0","0","0","10","2.1","0.2","0.0%"
"151","George Farmer (FA)","1","1","1.0","1","0","0","1","3","4","4.0","0","0","2","1.5","0.8","0.0%"
"152","Antonio Andrews (FA)","2","15","7.5","9","0","0","0","0","0","0","0","0","16","1.5","0.1","0.0%"
"153","Cedric Peerman (FA)","6","15","2.5","4","0","0","0","1","0","0","0","0","6","1.5","0.3","0.0%"
"154","Zach Line (FA)","7","15","2.1","5","0","0","0","3","0","0","0","0","15","1.5","0.1","0.0%"
"155","Joique Bell (FA)","3","6","2.0","6","0","0","1","1","-2","-2.0","0","0","7","1.4","0.2","0.2%"
"156","Rod Smith (FA)","0","0","0","0","0","0","1","1","4","4.0","0","0","7","1.4","0.2","0.0%"
"157","Chase Reynolds (FA)","0","0","0","0","0","0","1","1","4","4.0","0","0","16","1.4","0.1","0.0%"
"158","Marcus Murphy (FA)","0","0","0","0","0","0","1","1","3","3.0","0","0","3","1.3","0.4","0.0%"
"159","Terrence Magee (FA)","3","12","4.0","5","0","0","0","0","0","0","0","0","2","1.2","0.6","0.0%"
"160","Stepfan Taylor (FA)","4","12","3.0","12","0","0","0","0","0","0","0","0","15","1.2","0.1","0.2%"
"161","Tyler Ervin (FA)","1","3","3.0","3","0","0","3","5","18","6.0","0","2","12","1.1","0.1","0.0%"
"162","Bronson Hill (FA)","2","11","5.5","7","0","0","0","1","0","0","0","0","3","1.1","0.4","0.0%"
"163","Stevan Ridley (FA)","3","7","2.3","7","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
