"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"186","Laquon Treadwell (BAL)","1","3","15","15.0","15","0","0","0","0","0","0","9","2.5","0.3","0.0%"
"187","Tony Washington (FA)","1","1","9","9.0","9","0","0","0","0","0","0","2","1.9","1.0","0.0%"
"188","Jared Abbrederis (FA)","1","2","8","8.0","8","0","0","0","0","0","0","5","1.8","0.4","0.0%"
"189","Rashad Ross (FA)","1","1","8","8.0","8","0","0","0","0","0","0","5","1.8","0.4","0.0%"
"190","Paul McRoberts (FA)","1","1","6","6.0","6","0","0","0","0","0","0","2","1.6","0.8","0.0%"
"191","Marc Mariani (FA)","0","0","0","0","0","0","0","1","15","0","0","16","1.5","0.1","0.0%"
"192","Jordan Payton (FA)","1","3","3","3.0","3","0","0","0","0","0","0","4","1.3","0.3","0.0%"
"193","Nick Williams (FA)","5","7","59","11.8","19","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"194","Duke Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"195","Ryan Davis (FA)","0","0","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"196","Isaiah Burse (FA)","0","4","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"197","Anthony Johnson (FA)","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"198","Eric Weems (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"199","Kyle Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"200","Ka'Raun White (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"201","Isaac Fruechte (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"202","Rashawn Scott (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"203","Demarcus Robinson (LAR)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","20.2%"
"204","Donteea Dye (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"205","Kasen Williams (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"206","Dezmin Lewis (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"207","Tre McBride III (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"208","Vince Mayle (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"209","Ty Montgomery II (FA)","44","56","348","7.9","24","1","0","77","457","3","1","15","0.0","0.0","0.2%"
"210","Mario Alford (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"211","Geremy Davis (FA)","0","2","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"212","Jake Lampman (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"213","Tevaun Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"214","Daniel Braverman (FA)","0","2","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"215","Bralon Addison (FA)","1","1","11","11.0","11","0","0","1","4","0","1","2","0.0","0.0","0.0%"
"216","Matthew Slater (NE)","0","1","0","0","0","0","0","1","5","0","1","13","-1.5","-0.1","0.0%"
"217","Jakeem Grant Sr. (CLE)","0","1","0","0","0","0","0","1","1","0","1","16","-1.9","-0.1","0.0%"
"218","Kalif Raymond (DET)","0","2","0","0","0","0","0","0","0","0","1","4","-2.0","-0.5","1.3%"
"219","Keshawn Martin (FA)","0","0","0","0","0","0","0","0","0","0","1","1","-2.0","-2.0","0.0%"
"220","Devin Hester (FA)","0","0","0","0","0","0","0","0","0","0","1","12","-2.0","-0.2","0.4%"
""
""
