#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
56,Jamison Crowder,WR,WAS,11.8,15.9,17.8,4.1,6.5,13.3,17.8,25.7,BYE,14.4,19.2,16.8,13.2,5.7,4.4,1.3,3.6,12,191.5
57,Willie Snead IV,WR,SF,32.2,16.4,-,3.3,-,8.7,17.7,11.6,6.6,21.7,7.3,14.8,5.8,14.5,15.6,4.1,11.2,12.8,191.5
58,Tevin Coleman,RB,FA,16.7,15.1,29.9,6.3,26.3,2.7,14.4,-,-,-,-,9.3,4.9,19.5,8.6,22.5,14.9,14.7,191.1
58,Lamar Miller,RB,FA,15.7,11.7,14.7,13.8,3.4,32.8,9.7,14.3,-,8.3,19.3,8.5,2.8,19.2,16.9,-,-,13.7,191.1
60,Ryan Tannehill,QB,TEN,15.1,23,19,7.6,3.6,10.4,16.3,-,9.7,19.2,14.8,26.8,7,17.8,-,-,-,14.6,190.2
61,Jimmy Graham,TE,NO,2.1,7.2,20,17.3,BYE,14.9,10.3,6.4,30.3,8.8,13.6,10.7,18.3,2.6,4.1,12.3,10.4,11.8,189.3
62,Cole Beasley,WR,FA,14.5,12.5,14.3,10.3,15.3,23.8,-,9.3,17.6,8.3,16.9,10.6,4.3,8.1,8.8,6.5,7.9,11.8,189
63,A.J. Green,WR,FA,36,5.8,15.7,33.3,9,14.8,30.9,21.1,-,19.8,0,-,-,-,-,-,-,18.6,186.4
64,Sterling Shepard,WR,NYG,13.3,19.7,18.3,7,3.4,6.5,8.2,BYE,14,15.2,16,2.2,12.1,6.9,15.6,19.3,6.7,11.5,184.4
65,Zach Ertz,TE,DET,11.8,-,-,-,6.7,3.2,2.4,5.9,17.7,11.5,15.5,6.6,22.9,21.2,14,5.3,38.9,13.1,183.6
66,DeSean Jackson,WR,FA,16.2,7,20.6,1.5,6.5,9.5,8.5,7.8,-,-,15.1,21.8,6.9,19.2,18.1,16.4,5.4,12,180.5
67,Justin Tucker,K,BAL,9,15,17,8,4,11,14,BYE,9,9,6,19,10,13,12,15,4,10.9,175
68,Marvin Jones Jr.,WR,FA,12.5,19.8,38.5,12.4,13.7,9.3,13.4,6.3,1.5,-,2.5,9.4,-,10.7,7.1,2.6,12.6,11.5,172.3
69,Jordan Matthews,WR,CAR,24.4,13.1,9.9,-,10.5,10.5,4,23.5,14.8,13.3,10.9,8.7,-,15.9,8.7,3.2,-,12.2,171.4
70,Cameron Brate,TE,FA,6,4.6,21.6,11.7,4.8,-,5.9,11.2,15.3,21.4,3.8,8.9,20.6,8.7,18.3,8.2,-,11.4,171
71,Jordan Reed,TE,FA,13.4,12,9.6,28.3,13.3,-,-,24.9,-,6.1,12.9,31.5,-,2,1.6,-,13,14.1,168.6
72,Kenny Stills,WR,FA,2.6,11.9,12.6,14.4,0,3.2,21,-,2.1,12.7,7.3,16.2,4.1,21.7,12.2,12.5,14.1,10.5,168.6
