"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"35","Allen Lazard (NYJ)","60","100","788","13.1","47","20","6","2","0","0","0","15","174.8","11.7","9.9%"
"36","Gabe Davis (BUF)","48","93","836","17.4","98","20","7","0","0","0","1","15","171.6","11.4","77.2%"
"37","Joshua Palmer (LAC)","72","107","769","10.7","50","12","3","1","4","0","0","16","169.3","10.6","29.1%"
"38","Deebo Samuel (SF)","56","94","632","11.3","57","11","2","42","232","3","2","13","168.4","13.0","98.5%"
"39","Donovan Peoples-Jones (DET)","61","96","839","13.8","42","21","3","1","2","0","1","17","167.1","9.8","2.2%"
"40","George Pickens (PIT)","52","84","801","15.4","42","25","4","3","24","1","0","17","166.5","9.8","83.7%"
"41","Christian Watson (GB)","41","65","611","14.9","63","17","7","7","80","2","0","14","164.1","11.7","70.7%"
"42","Keenan Allen (LAC)","66","89","752","11.4","46","14","4","1","8","0","1","10","164.0","16.4","92.9%"
"43","Courtland Sutton (DEN)","64","109","829","13.0","51","18","2","1","5","0","0","15","159.4","10.6","82.8%"
"44","Marquise Brown (ARI)","67","107","709","10.6","47","11","3","1","1","0","0","12","156.0","13.0","72.3%"
"45","K.J. Osborn (MIN)","60","90","650","10.8","66","13","5","3","6","0","0","17","155.6","9.2","27.0%"
"46","Mack Hollins (ATL)","57","94","690","12.1","60","15","4","4","40","0","0","17","154.2","9.1","0.4%"
"47","DeAndre Hopkins (TEN)","64","96","717","11.2","33","10","3","0","0","0","1","9","151.7","16.9","94.8%"
"48","Parris Campbell (NYG)","63","91","623","9.9","49","13","3","5","58","0","0","17","149.1","8.8","2.3%"
"49","Brandin Cooks (DAL)","57","93","699","12.3","44","22","3","2","7","0","0","13","145.6","11.2","69.6%"
"50","Richie James Jr. (KC)","57","70","569","10.0","33","4","4","2","6","0","3","16","132.5","8.3","0.2%"
"51","Jahan Dotson (WAS)","35","61","523","14.9","61","17","7","2","-7","0","0","12","130.6","10.9","53.4%"
"52","Darius Slayton (NYG)","46","71","724","15.7","55","24","2","0","0","0","1","13","128.4","9.9","4.5%"
"53","Russell Gage (TB)","51","70","426","8.4","23","3","5","0","0","0","1","13","123.6","9.5","0.1%"
"54","Marquez Valdes-Scantling (KC)","42","81","687","16.4","57","22","2","1","-3","0","0","17","122.4","7.2","3.6%"
"55","Isaiah McKenzie (IND)","42","66","423","10.1","30","5","4","9","55","1","0","16","119.8","7.5","0.1%"
"56","Marvin Jones Jr. (FA)","46","81","529","11.5","37","8","3","0","0","0","0","16","116.9","7.3","0.6%"
"57","Kalif Raymond (DET)","47","64","616","13.1","56","17","0","7","36","0","1","17","116.2","6.8","1.3%"
"58","Devin Duvernay (BAL)","37","49","407","11.0","31","7","3","12","84","1","0","14","116.1","8.3","0.1%"
"59","Robert Woods (HOU)","53","91","527","9.9","41","6","2","0","0","0","1","17","115.7","6.8","6.5%"
"60","Chris Moore (TEN)","48","74","548","11.4","52","16","2","3","3","0","0","15","115.1","7.7","0.1%"
"61","Noah Brown (HOU)","43","74","555","12.9","51","12","3","0","0","0","1","16","114.5","7.2","43.0%"
"62","Greg Dortch (ARI)","52","64","467","9.0","47","8","2","7","44","0","1","16","113.1","7.1","6.2%"
"63","Alec Pierce (IND)","41","78","593","14.5","47","16","2","0","0","0","0","16","112.3","7.0","3.3%"
"64","DeAndre Carter (LV)","46","65","538","11.7","35","15","3","2","-15","0","2","17","112.3","6.6","0.1%"
"65","Olamide Zaccheaus (PHI)","40","61","533","13.3","45","14","3","2","7","0","1","17","110.0","6.5","0.2%"
"66","Michael Gallup (DAL)","39","74","424","10.9","27","4","4","0","0","0","0","14","105.4","7.5","19.1%"
"67","Chase Claypool (MIA)","46","79","451","9.8","31","8","1","9","59","0","1","15","105.0","7.0","2.3%"
"68","Josh Reynolds (DET)","38","59","479","12.6","31","9","3","0","0","0","0","12","103.9","8.7","10.5%"
"69","Demarcus Robinson (LAR)","48","75","458","9.5","31","5","2","0","0","0","1","16","103.8","6.5","20.2%"
"70","DeVante Parker (NE)","31","47","539","17.4","43","18","3","0","0","0","0","13","102.9","7.9","3.2%"
"71","Romeo Doubs (GB)","42","67","425","10.1","26","7","3","1","11","0","1","13","101.6","7.8","50.9%"
"72","Darnell Mooney (CHI)","40","61","493","12.3","56","12","2","1","2","0","0","11","101.5","9.2","16.7%"
"73","Rashid Shaheed (NO)","28","34","488","17.4","68","19","2","4","57","1","0","12","100.5","8.4","44.9%"
"74","Isaiah Hodgins (NYG)","37","48","392","10.6","29","4","4","0","0","0","1","9","100.2","11.1","1.1%"
"75","DJ Chark Jr. (CAR)","30","52","502","16.7","51","17","3","0","0","0","0","11","98.2","8.9","17.3%"
"76","Corey Davis (FA)","32","64","536","16.8","66","13","2","0","0","0","0","13","97.6","7.5","0.1%"
"77","Nico Collins (HOU)","37","66","481","13.0","58","11","2","0","0","0","0","10","97.1","9.7","93.4%"
"78","Mecole Hardman Jr. (KC)","25","34","297","11.9","36","8","4","4","31","2","0","8","93.8","11.7","1.6%"
"79","Marquise Goodwin (CLE)","27","42","387","14.3","38","10","4","2","5","0","0","13","90.2","6.9","0.1%"
"80","Kendrick Bourne (NE)","35","48","434","12.4","41","9","1","6","39","0","0","16","88.3","5.5","4.6%"
"81","Treylon Burks (TEN)","33","54","444","13.5","51","17","1","4","47","0","0","11","88.1","8.0","17.8%"
"82","Elijah Moore (CLE)","37","65","446","12.1","42","10","1","5","5","0","0","16","88.1","5.5","40.0%"
"83","Rondale Moore (ARI)","41","56","414","10.1","38","8","1","6","-5","0","0","8","87.9","11.0","19.0%"
"84","Allen Robinson II (PIT)","33","52","339","10.3","29","3","3","0","0","0","0","10","84.9","8.5","1.1%"
"85","Quez Watkins (PHI)","33","51","354","10.7","53","12","3","3","1","0","1","17","84.5","5.0","0.3%"
"86","Ben Skowronek (LAR)","39","61","376","9.6","32","7","0","1","17","1","0","14","84.3","6.0","0.1%"
"87","Trent Sherfield (BUF)","30","51","417","13.9","75","9","2","0","0","0","0","16","83.7","5.2","0.1%"
"88","Terrace Marshall Jr. (CAR)","28","47","490","17.5","43","17","1","0","0","0","0","13","83.0","6.4","0.3%"
"89","Nick Westbrook-Ikhine (TEN)","25","50","397","15.9","63","11","3","0","0","0","0","16","82.7","5.2","0.4%"
"90","Jauan Jennings (SF)","35","56","416","11.9","44","6","1","0","0","0","0","16","82.6","5.2","0.7%"
"91","Randall Cobb (NYJ)","34","50","417","12.3","40","10","1","0","0","0","0","13","81.7","6.3","0.3%"
"92","Hunter Renfrow (LV)","36","50","330","9.2","27","3","2","0","0","0","1","10","79.0","7.9","2.3%"
"93","Van Jefferson (ATL)","24","44","369","15.4","39","9","3","0","0","0","0","10","78.9","7.9","2.3%"
"94","Nelson Agholor (BAL)","31","53","362","11.7","44","9","2","0","0","0","2","15","75.2","5.0","0.8%"
"95","Laviska Shenault Jr. (CAR)","27","32","272","10.1","67","8","1","9","65","1","0","13","72.7","5.6","0.1%"
"96","Jamal Agnew (JAC)","23","30","187","8.1","24","1","3","12","86","0","0","15","72.3","4.8","0.8%"
"97","Julio Jones (PHI)","24","43","299","12.5","48","6","2","5","45","0","0","10","70.4","7.0","1.4%"
"98","Tyquan Thornton (NE)","22","45","247","11.2","29","4","2","3","16","1","0","12","66.3","5.5","1.1%"
"99","Dante Pettis (FA)","19","41","245","12.9","51","7","3","2","37","0","0","17","65.2","3.8","0.0%"
"100","Equanimeous St. Brown (CHI)","21","38","323","15.4","56","9","1","6","54","0","0","16","64.7","4.0","0.1%"
"101","Trenton Irwin (CIN)","15","23","231","15.4","45","6","4","1","11","0","0","9","63.2","7.0","1.1%"
"102","Tutu Atwell (LAR)","18","35","298","16.6","62","12","1","9","34","1","0","12","63.2","5.3","17.0%"
"103","A.J. Green (FA)","24","47","236","9.8","77","4","2","0","0","0","0","13","61.6","4.7","0.6%"
"104","Shi Smith (KC)","22","41","296","13.5","38","8","2","0","0","0","1","17","61.6","3.6","0.0%"
"105","Jarvis Landry (FA)","25","39","272","10.9","40","5","1","0","0","0","0","9","60.2","6.7","7.1%"
"106","Justin Watson (KC)","15","34","315","21.0","67","12","2","0","0","0","0","17","58.5","3.4","2.4%"
"107","Ray-Ray McCloud III (SF)","14","25","243","17.4","42","8","1","4","78","1","0","17","58.1","3.4","0.6%"
"108","Braxton Berrios (MIA)","18","32","145","8.1","25","2","0","9","91","2","0","17","57.7","3.4","1.6%"
"109","Kadarius Toney (KC)","16","20","171","10.7","38","5","2","7","82","1","1","9","57.3","6.4","11.3%"
"110","Kendall Hinton (FA)","24","33","311","13.0","35","8","0","2","13","0","0","11","56.4","5.1","0.0%"
"111","Rashod Bateman (BAL)","15","28","285","19.0","75","12","2","0","0","0","1","6","53.5","8.9","10.0%"
"112","Tre'Quan Smith (DEN)","19","27","278","14.6","48","6","1","0","0","0","0","10","52.8","5.3","0.0%"
"113","Robbie Chosen (MIA)","20","44","282","14.1","75","7","1","0","0","0","1","12","52.2","4.4","0.1%"
"114","Damiere Byrd (HOU)","13","23","268","20.6","75","8","2","0","0","0","0","12","51.8","4.3","0.0%"
"115","Phillip Dorsett II (DEN)","20","40","257","12.9","34","6","1","0","0","0","0","15","51.7","3.4","0.0%"
"116","Wan'Dale Robinson (NYG)","23","31","227","9.9","19","0","1","2","-1","0","0","6","51.6","8.6","10.9%"
"117","Michael Thomas (NO)","16","22","171","10.7","21","2","3","0","0","0","0","3","51.1","17.0","36.1%"
"118","Brandon Powell (MIN)","24","32","156","6.5","16","0","0","17","80","0","0","17","47.6","2.8","1.2%"
"119","Sammy Watkins (FA)","16","27","325","20.3","55","15","0","0","0","0","1","9","46.5","5.2","0.0%"
"120","David Bell (CLE)","24","35","214","8.9","20","1","0","0","0","0","0","15","45.4","3.0","0.1%"
"121","Skyy Moore (KC)","22","33","250","11.4","30","3","0","3","24","0","3","16","43.4","2.7","17.7%"
"122","Ashton Dulin (IND)","15","22","207","13.8","39","3","1","2","8","0","0","10","42.5","4.3","0.0%"
"123","Scott Miller (ATL)","23","40","185","8.0","23","2","0","1","8","0","0","12","42.3","3.5","0.0%"
"124","KhaDarel Hodge (ATL)","13","20","202","15.5","39","3","1","0","0","0","0","13","41.2","3.2","0.0%"
"125","Amari Rodgers (FA)","16","25","204","12.8","37","4","1","2","7","0","2","15","39.1","2.6","0.0%"
"126","Marquez Callaway (PIT)","16","32","158","9.9","33","3","1","0","0","0","0","10","37.8","3.8","0.0%"
"127","Zach Pascal (ARI)","15","19","150","10.0","34","3","1","1","0","0","0","15","36.0","2.4","0.0%"
"128","Byron Pringle (WAS)","10","16","135","13.5","35","4","2","0","0","0","0","10","35.5","3.6","0.1%"
"129","Sterling Shepard (NYG)","13","24","154","11.8","65","4","1","0","0","0","0","3","34.4","11.5","0.2%"
"130","Khalil Shakir (BUF)","10","20","161","16.1","31","5","1","0","0","0","0","10","34.1","3.4","6.9%"
"131","Velus Jones Jr. (CHI)","7","14","107","15.3","44","4","1","9","103","1","3","11","34.0","3.1","0.1%"
"132","Jalen Nailor (MIN)","9","13","179","19.9","47","6","1","0","0","0","0","8","32.9","4.1","0.0%"
"133","Dyami Brown (WAS)","5","14","143","28.6","75","6","2","1","15","0","0","9","32.8","3.6","0.1%"
"134","Steven Sims Jr. (HOU)","14","23","104","7.4","28","1","0","13","70","0","0","12","31.4","2.6","0.0%"
"135","River Cracraft (MIA)","9","14","102","11.3","22","1","2","0","0","0","0","8","31.2","3.9","0.1%"
"136","Lawrence Cager (NYG)","13","19","118","9.1","20","1","1","0","0","0","0","6","30.8","5.1","0.0%"
"137","Keelan Cole Sr. (LV)","10","21","141","14.1","30","4","1","0","0","0","0","12","30.1","2.5","0.0%"
"138","Denzel Mims (PIT)","11","25","186","16.9","63","6","0","0","0","0","0","9","29.6","3.3","0.0%"
"139","Jalen Reagor (NE)","8","13","104","13.0","38","3","1","4","25","0","0","17","26.9","1.6","0.1%"
"140","Cedrick Wilson Jr. (MIA)","12","18","136","11.3","21","2","0","1","8","0","0","13","26.4","2.0","1.8%"
"141","KJ Hamler (BUF)","7","14","165","23.6","55","10","0","2","23","0","0","7","25.8","3.7","0.0%"
"142","N'Keal Harry (MIN)","7","9","116","16.6","49","3","1","0","0","0","0","6","24.6","4.1","0.0%"
"143","DeSean Jackson (FA)","9","17","153","17.0","62","5","0","0","0","0","0","7","24.3","3.5","0.6%"
"144","Breshad Perriman (FA)","9","19","110","12.2","28","2","1","2","-7","0","1","8","23.3","2.9","0.0%"
"145","Tom Kennedy (DET)","8","15","141","17.6","44","4","0","0","0","0","0","7","22.1","3.2","0.0%"
"146","David Sills (DEN)","11","17","106","9.6","24","1","0","0","0","0","0","7","21.6","3.1","0.0%"
"147","Jeff Smith (ARI)","8","11","134","16.8","50","5","0","0","0","0","0","7","21.4","3.1","0.0%"
"148","Kenny Golladay (FA)","6","17","81","13.5","25","1","1","0","0","0","0","6","20.1","3.4","4.0%"
"149","Samori Toure (GB)","5","10","82","16.4","37","4","1","0","0","0","0","4","19.2","4.8","0.1%"
"150","T.Y. Hilton (FA)","7","10","121","17.3","52","5","0","0","0","0","0","3","19.1","6.4","1.6%"
"151","Marcus Johnson (FA)","9","22","99","11.0","18","0","0","0","0","0","0","8","18.9","2.4","0.0%"
"152","Michael Bandy (DEN)","10","21","89","8.9","25","2","0","0","0","0","0","8","18.9","2.4","0.0%"
"153","Anthony Schwartz (MIA)","4","10","51","12.8","19","0","0","4","57","1","1","7","18.8","2.7","0.0%"
"154","Cam Sims (CAR)","8","18","89","11.1","21","1","0","0","0","0","0","13","16.9","1.3","0.0%"
"155","Dax Milne (WAS)","6","7","37","6.2","12","0","1","0","0","0","0","15","15.7","1.0","0.0%"
"156","Jameson Williams (DET)","1","9","41","41.0","41","3","1","1","40","0","0","6","15.1","2.5","17.1%"
"157","Brandon Johnson (DEN)","6","14","42","7.0","12","0","1","0","0","0","1","5","14.2","2.8","1.2%"
"158","Dee Eskridge (SEA)","7","13","58","8.3","16","0","0","2","10","0","0","9","13.8","1.5","0.0%"
"159","Jalen Virgil (DEN)","2","5","75","37.5","66","4","1","0","0","0","1","7","13.5","1.9","0.0%"
"160","James Proche II (CLE)","8","17","62","7.8","12","0","0","0","0","0","0","12","13.2","1.1","0.0%"
"161","Gunner Olszewski (NYG)","5","7","53","10.6","31","2","0","8","39","0","1","15","12.2","0.8","0.1%"
"162","Jamison Crowder (WAS)","6","13","60","10.0","16","0","0","0","0","0","0","4","12.0","3.0","0.1%"
"163","Kyle Philips (TEN)","8","13","78","9.8","21","2","0","0","0","0","2","4","11.8","3.0","0.1%"
"164","Trent Taylor (CHI)","6","10","62","10.3","34","2","0","4","15","0","1","16","11.7","0.7","0.0%"
"165","Andre Baccellia (ARI)","7","10","45","6.4","11","0","0","0","0","0","0","5","11.5","2.3","0.0%"
"166","Freddie Swain (MIA)","4","6","74","18.5","52","4","0","0","0","0","0","3","11.4","3.8","0.0%"
"167","John Brown (FA)","1","2","42","42.0","42","3","1","0","0","0","0","2","11.2","5.6","0.0%"
"168","Deven Thompkins (TB)","5","10","32","6.4","13","0","0","2","26","0","0","5","10.8","2.2","0.2%"
"169","Jake Kumerow (FA)","4","7","64","16.0","39","2","0","0","0","0","0","5","10.4","2.1","0.0%"
"170","Laquon Treadwell (BAL)","6","10","42","7.0","17","0","0","0","0","0","0","3","10.2","3.4","0.0%"
"171","Cole Beasley (FA)","6","8","35","5.8","9","0","0","0","0","0","0","5","9.5","1.9","0.0%"
"172","Kevin White (FA)","2","5","74","37.0","64","4","0","0","0","0","0","6","9.4","1.6","0.0%"
"173","Michael Woods II (CLE)","5","10","45","9.0","15","0","0","1","-5","0","0","8","9.0","1.1","0.0%"
"174","Mike Strachan (CAR)","3","9","59","19.7","23","2","0","0","0","0","0","6","8.9","1.5","0.0%"
"175","Chris Conley (SF)","4","7","46","11.5","27","1","0","0","0","0","0","4","8.6","2.2","0.0%"
"176","Jalen Guyton (LAC)","2","4","64","32.0","54","4","0","0","0","0","0","2","8.4","4.2","1.9%"
"177","Cody Hollister (FA)","3","5","54","18.0","27","2","0","0","0","0","0","6","8.4","1.4","0.0%"
"178","Mike Thomas (FA)","2","10","38","19.0","33","2","0","0","0","0","0","5","7.8","1.6","0.0%"
"179","Tylan Wallace (BAL)","4","7","33","8.3","12","0","0","0","0","0","0","6","7.3","1.2","0.1%"
"180","Racey McMath (DAL)","2","8","40","20.0","39","2","0","1","4","0","0","4","6.4","1.6","0.0%"
"181","Tim Jones (JAC)","3","4","30","10.0","20","1","0","0","0","0","0","7","6.0","0.9","0.0%"
"182","Simi Fehoko (LAC)","3","4","24","8.0","12","0","0","0","0","0","0","3","5.4","1.8","0.0%"
"183","Montrell Washington (KC)","4","9","2","0.5","4","0","0","5","30","0","1","15","5.2","0.3","0.0%"
"184","Penny Hart (FA)","3","4","20","6.7","15","0","0","0","0","0","0","3","5.0","1.7","0.0%"
"185","Tyrie Cleveland (IND)","2","7","28","14.0","16","0","0","0","0","0","0","5","4.8","1.0","0.0%"
"186","Jaelon Darden (CLE)","2","2","26","13.0","25","1","0","1","2","0","0","14","4.8","0.3","0.0%"
"187","Daylen Baldwin (MIN)","2","2","25","12.5","15","0","0","0","0","0","0","1","4.5","4.5","0.0%"
"188","Bryan Edwards (FA)","3","5","15","5.0","10","0","0","0","0","0","0","4","4.5","1.1","0.0%"
"189","Dareke Young (SEA)","2","2","24","12.0","12","0","0","0","0","0","0","7","4.4","0.6","0.0%"
"190","Dezmon Patmon (FA)","2","6","24","12.0","17","0","0","0","0","0","0","1","4.4","4.4","0.0%"
"191","Andy Isabella (BUF)","2","5","21","10.5","11","0","0","1","1","0","0","4","4.2","1.1","0.0%"
"192","Cade Johnson (SEA)","2","4","21","10.5","11","0","0","0","0","0","0","2","4.1","2.1","0.0%"
"193","Pharoh Cooper (FA)","2","2","6","3.0","3","0","0","4","15","0","0","5","4.1","0.8","0.0%"
"194","Lil'Jordan Humphrey (DEN)","2","4","20","10.0","11","0","0","0","0","0","0","4","4.0","1.0","0.1%"
"195","Keith Kirkwood (NO)","2","4","18","9.0","14","0","0","0","0","0","0","3","3.8","1.3","0.0%"
"196","Dennis Houston (NYG)","2","6","16","8.0","11","0","0","0","0","0","0","2","3.6","1.8","0.0%"
"197","Quintez Cephus (DET)","2","3","15","7.5","9","0","0","0","0","0","0","3","3.5","1.2","0.0%"
"198","Nsimba Webster (CHI)","2","3","14","7.0","8","0","0","0","0","0","0","1","3.4","3.4","0.0%"
"199","Austin Trammell (LAR)","2","4","13","6.5","8","0","0","0","0","0","0","2","3.3","1.7","0.1%"
"200","Jalen Tolbert (DAL)","2","3","12","6.0","8","0","0","0","0","0","0","3","3.2","1.1","0.3%"
"201","Miles Boykin (PIT)","2","3","11","5.5","11","0","0","0","0","0","0","10","3.1","0.3","0.0%"
"202","Danny Gray (SF)","1","7","10","10.0","10","0","0","1","9","0","0","7","2.9","0.4","0.0%"
"203","Juwann Winfree (IND)","1","4","17","17.0","17","0","0","0","0","0","0","3","2.7","0.9","0.0%"
"204","DJ Turner (LV)","0","1","0","0","0","0","0","4","26","0","0","6","2.6","0.4","0.0%"
"205","Frank Darby (ATL)","1","1","15","15.0","15","0","0","0","0","0","0","1","2.5","2.5","0.0%"
"206","Tyron Billy-Johnson (FA)","1","1","8","8.0","8","0","0","0","0","0","0","2","1.8","0.9","0.0%"
"207","Braylon Sanders (MIA)","2","3","17","8.5","13","0","0","0","0","0","1","2","1.7","0.9","0.0%"
"208","Jalen Camp (CAR)","1","1","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"209","Maurice Alexander (DET)","1","1","7","7.0","7","0","0","0","0","0","0","3","1.7","0.6","0.0%"
"210","C.J. Board (FA)","1","1","6","6.0","6","0","0","0","0","0","0","4","1.6","0.4","0.0%"
"211","Jason Moore Jr. (FA)","1","2","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"212","Erik Ezukanma (MIA)","1","1","3","3.0","3","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"213","Mason Kinsey (TEN)","1","1","3","3.0","3","0","0","0","0","0","0","2","1.3","0.7","0.0%"
"214","Deonte Harty (BUF)","2","2","13","6.5","9","0","0","0","0","0","1","4","1.3","0.3","0.3%"
"215","Cody White (SEA)","1","1","2","2.0","2","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"216","Keke Coutee (FA)","1","1","20","20.0","20","1","0","0","0","0","1","7","1.0","0.1","0.0%"
"217","Ihmir Smith-Marsette (CAR)","1","4","15","15.0","15","0","0","1","-1","0","1","4","0.4","0.1","0.1%"
"218","Trinity Benson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"219","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"220","Stanley Morgan Jr. (CIN)","0","1","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"221","Alex Bachman (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"222","Malik Turner (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"223","Cody Thompson (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"224","Dan Chisena (BAL)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"225","Binjimen Victor (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"226","Justyn Ross (KC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.4%"
"227","Kirk Merritt (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"228","Josh Ali (ATL)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"229","Raleigh Webb (TB)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"230","Lance McCutcheon (NYJ)","0","5","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"231","Chris Pierce Jr. (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"232","Emeka Emezie (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"233","Tay Martin (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"234","Britain Covey (PHI)","0","0","0","0","0","0","0","0","0","0","0","17","0.0","0.0","0.1%"
"235","Stanley Berryhill III (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"236","Jacob Harris (PHI)","1","1","6","6.0","6","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"237","Josh Gordon (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"238","Albert Wilson (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"239","Matthew Slater (NE)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"240","Andre Roberts (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"241","Tanner Gentry (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"242","Marcus Kemp (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"243","Justin Hardee (NYJ)","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"244","Marken Michel (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"245","Brandon Zylstra (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
